Distance,Impedance,predict
18.5,-1.036,-1.037491775779116
18.75,-1.038,-1.040876755175445
19,-1.041,-1.0442617345717737
19.25,-1.044,-1.0476467139681027
19.5,-1.046,-1.0510316933644317
19.75,-1.049,-1.0544166727607605
20,-1.051,-1.0578016521570894
20.25,-1.054,-1.0599110552446618
20.5,-1.057,-1.0620204583322341
20.75,-1.059,-1.0641298614198067
21,-1.062,-1.066239264507379
21.25,-1.064,-1.0683486675949514
21.5,-1.067,-1.0704580706825237
21.75,-1.069,-1.0725674737700963
22,-1.072,-1.0746768768576687
22.25,-1.074,-1.076786279945241
22.5,-1.077,-1.0788956830328134
22.75,-1.079,-1.081005086120386
23,-1.082,-1.0831144892079583
23.25,-1.084,-1.0852238922955306
23.5,-1.087,-1.087333295383103
23.75,-1.09,-1.0894426984706753
24,-1.092,-1.091552101558248
24.25,-1.095,-1.0936615046458202
24.5,-1.097,-1.0957709077333926
24.75,-1.1,-1.097880310820965
25,-1.102,-1.0999897139085375
25.25,-1.105,-1.1020991169961099
25.5,-1.108,-1.1042085200836822
25.75,-1.11,-1.1063179231712545
26,-1.113,-1.108427326258827
26.25,-1.116,-1.1105367293463995
26.5,-1.118,-1.1126461324339718
26.75,-1.121,-1.1147555355215442
27,-1.124,-1.1168649386091165
27.25,-1.127,-1.118974341696689
27.5,-1.129,-1.1210837447842614
27.75,-1.132,-1.1231931478718338
28,-1.135,-1.1253025509594061
28.25,-1.138,-1.1274119540469787
28.5,-1.141,-1.129521357134551
28.75,-1.143,-1.1316307602221234
29,-1.146,-1.1337401633096957
29.25,-1.149,-1.135849566397268
29.5,-1.152,-1.1379589694848407
29.75,-1.155,-1.140068372572413
30,-1.158,-1.1421777756599854
30.25,-1.161,-1.14654501840095
30.5,-1.164,-1.1509122611419147
30.75,-1.167,-1.1552795038828794
31,-1.17,-1.1596467466238443
31.25,-1.173,-1.164013989364809
31.5,-1.177,-1.1683812321057736
31.75,-1.18,-1.1727484748467383
32,-1.183,-1.177115717587703
32.25,-1.186,-1.1814829603286676
32.5,-1.19,-1.1858502030696323
32.75,-1.193,-1.1902174458105972
33,-1.196,-1.1945846885515619
33.25,-1.199,-1.1989519312925265
33.5,-1.203,-1.2033191740334912
33.75,-1.206,-1.2076864167744559
34,-1.21,-1.2120536595154205
34.25,-1.213,-1.2164209022563852
34.5,-1.217,-1.2207881449973499
34.75,-1.22,-1.2251553877383148
35,-1.224,-1.2295226304792795
35.25,-1.228,-1.2338898732202441
35.5,-1.231,-1.2382571159612088
35.75,-1.235,-1.2426243587021735
36,-1.239,-1.2469916014431381
36.25,-1.242,-1.2513588441841028
36.5,-1.246,-1.2557260869250677
36.75,-1.25,-1.2600933296660324
37,-1.254,-1.264460572406997
37.25,-1.258,-1.2688278151479617
37.5,-1.262,-1.2731950578889264
37.75,-1.266,-1.277562300629891
38,-1.27,-1.2819295433708557
38.25,-1.274,-1.2862967861118206
38.5,-1.278,-1.2906640288527853
38.75,-1.282,-1.29503127159375
39,-1.286,-1.2993985143347146
39.25,-1.29,-1.3037657570756793
39.5,-1.295,-1.308132999816644
39.75,-1.299,-1.3125002425576087
40,-1.303,-1.3168674852985736
40.25,-1.308,-1.3212347280395382
40.5,-1.312,-1.325601970780503
40.75,-1.316,-1.3299692135214676
41,-1.321,-1.3343364562624322
41.25,-1.325,-1.338703699003397
41.5,-1.33,-1.3430709417443616
41.75,-1.335,-1.3474381844853265
42,-1.339,-1.3518054272262912
42.25,-1.344,-1.3561726699672558
42.5,-1.349,-1.3605399127082205
42.75,-1.353,-1.3649071554491852
43,-1.358,-1.3692743981901498
43.25,-1.363,-1.3736416409311145
43.5,-1.368,-1.3780088836720794
43.75,-1.373,-1.382376126413044
44,-1.378,-1.3867433691540088
44.25,-1.383,-1.3911106118949734
44.5,-1.388,-1.395477854635938
44.75,-1.393,-1.3998450973769028
45,-1.398,-1.4042123401178674
45.25,-1.403,-1.4085795828588323
45.5,-1.409,-1.412946825599797
45.75,-1.414,-1.4173140683407617
46,-1.419,-1.4216813110817264
46.25,-1.425,-1.426048553822691
46.5,-1.43,-1.4304157965636557
46.75,-1.435,-1.4347830393046204
47,-1.441,-1.4391502820455853
47.25,-1.446,-1.44351752478655
47.5,-1.452,-1.4478847675275146
47.75,-1.458,-1.4522520102684793
48,-1.463,-1.456619253009444
48.25,-1.469,-1.4609864957504086
48.5,-1.475,-1.4653537384913733
48.75,-1.481,-1.4697209812323382
49,-1.487,-1.4740882239733029
49.25,-1.492,-1.4784554667142675
49.5,-1.498,-1.4828227094552322
49.75,-1.504,-1.4871899521961969
50,-1.51,-1.4915571949371615
50.25,-1.516,-1.499029737852768
50.5,-1.523,-1.5065022807683746
50.75,-1.529,-1.513974823683981
51,-1.535,-1.5214473665995873
51.25,-1.541,-1.528919909515194
51.5,-1.548,-1.5363924524308004
51.75,-1.554,-1.5438649953464068
52,-1.56,-1.5513375382620131
52.25,-1.567,-1.5588100811776198
52.5,-1.573,-1.5662826240932262
52.75,-1.58,-1.5737551670088326
53,-1.586,-1.5812277099244392
53.25,-1.593,-1.5887002528400456
53.5,-1.6,-1.596172795755652
53.75,-1.607,-1.6036453386712584
54,-1.613,-1.611117881586865
54.25,-1.62,-1.6185904245024714
54.5,-1.627,-1.6260629674180778
54.75,-1.634,-1.6335355103336844
55,-1.641,-1.6410080532492908
55.25,-1.648,-1.6484805961648972
55.5,-1.655,-1.6559531390805038
55.75,-1.662,-1.6634256819961102
56,-1.669,-1.6708982249117166
56.25,-1.677,-1.6783707678273232
56.5,-1.684,-1.6858433107429296
56.75,-1.691,-1.693315853658536
57,-1.698,-1.7007883965741424
57.25,-1.706,-1.708260939489749
57.5,-1.713,-1.7157334824053554
57.75,-1.721,-1.7232060253209618
58,-1.728,-1.7306785682365684
58.25,-1.736,-1.7381511111521748
58.5,-1.744,-1.7456236540677812
58.75,-1.751,-1.7530961969833876
59,-1.759,-1.7605687398989942
59.25,-1.767,-1.7680412828146006
59.5,-1.775,-1.775513825730207
59.75,-1.783,-1.7829863686458136
60,-1.791,-1.79045891156142
