Distance,Impedance,predict
0,0,-0.003288793644723325
0.25,-0.102,-0.09542241271053467
0.5,-0.184,-0.187556031776346
0.75,-0.252,-0.25146552373679
1,-0.31,-0.31537501569723403
1.25,-0.36,-0.35750689525263524
1.5,-0.405,-0.3996387748080365
1.75,-0.444,-0.4417706543634377
2,-0.479,-0.483902533918839
2.25,-0.511,-0.5115903592040908
2.5,-0.54,-0.5392781844893425
2.75,-0.567,-0.5669660097745943
3,-0.592,-0.594653835059846
3.25,-0.614,-0.6138011258078505
3.5,-0.635,-0.632948416555855
3.75,-0.655,-0.6520957073038595
4,-0.673,-0.6712429980518639
4.25,-0.69,-0.6903902887998684
4.5,-0.706,-0.7095375795478729
4.75,-0.721,-0.7286848702958774
5,-0.735,-0.7478321610438818
5.25,-0.749,-0.7565606768068844
5.5,-0.761,-0.7652891925698869
5.75,-0.773,-0.7740177083328895
6,-0.785,-0.7827462240958921
6.25,-0.796,-0.7914747398588947
6.5,-0.806,-0.8002032556218972
6.75,-0.816,-0.8089317713848998
7,-0.825,-0.8176602871479024
7.25,-0.834,-0.826388802910905
7.5,-0.842,-0.8351173186739075
7.75,-0.85,-0.8438458344369101
8,-0.858,-0.8525743501999127
8.25,-0.866,-0.8613028659629152
8.5,-0.873,-0.8700313817259178
8.75,-0.88,-0.8787598974889204
9,-0.886,-0.887488413251923
9.25,-0.893,-0.8962169290149256
9.5,-0.899,-0.904945444777928
9.75,-0.905,-0.9136739605409306
10,-0.91,-0.9224024763039332
10.25,-0.916,-0.9257874557002621
10.5,-0.921,-0.9291724350965911
10.75,-0.926,-0.93255741449292
11,-0.931,-0.9359423938892488
11.25,-0.936,-0.9393273732855778
11.5,-0.941,-0.9427123526819067
11.75,-0.945,-0.9460973320782355
12,-0.95,-0.9494823114745645
12.25,-0.954,-0.9528672908708934
12.5,-0.958,-0.9562522702672223
12.75,-0.962,-0.9596372496635512
13,-0.966,-0.9630222290598801
13.25,-0.97,-0.966407208456209
13.5,-0.974,-0.969792187852538
13.75,-0.977,-0.9731771672488668
14,-0.981,-0.9765621466451957
14.25,-0.985,-0.9799471260415247
14.5,-0.988,-0.9833321054378535
14.75,-0.991,-0.9867170848341824
15,-0.995,-0.9901020642305114
15.25,-0.998,-0.9934870436268403
15.5,-1.001,-0.9968720230231691
15.75,-1.004,-1.000257002419498
16,-1.007,-1.0036419818158269
16.25,-1.01,-1.0070269612121558
16.5,-1.013,-1.0104119406084848
16.75,-1.016,-1.0137969200048136
17,-1.019,-1.0171818994011426
17.25,-1.022,-1.0205668787974715
17.5,-1.025,-1.0239518581938003
17.75,-1.027,-1.0273368375901293
18,-1.03,-1.0307218169864583
18.25,-1.033,-1.034106796382787
